Date,Open,High,Low,Close,Adj Close,Volume,trade_date,daily_return,day_move_pct,daily_range_pct,gap_abs_pct,rv_5d,range_5d,daily_range_pct_rank,rv_5d_rank,range_5d_rank,gap_abs_pct_rank,proxy_vanna_score,proxy_vanna_env
2026-05-20,7369.189941,7435.689941,7357.459961,7432.970215,7432.970215,5384150000,2026-05-20,0.01079202643035293,0.008654991187721462,0.010615818105698636,0.002118697930711797,0.15323533567383926,0.009199735660137291,0.7333333333333333,0.8148148148148148,0.6785714285714286,0.4482758620689655,70.48403575989784,HIGH
2026-05-21,7410.779785,7465.959961,7389.47998,7445.720215,7445.720215,5440620000,2026-05-21,0.0017153304306627426,0.004714811533156434,0.01032009899346908,0.002985405478313296,0.13903400525044585,0.009580985126556,0.7,0.7777777777777778,0.75,0.5172413793103449,69.06704980842912,HIGH
2026-05-22,7468.819824,7506.319824,7463.290039,7473.470215,7473.470215,4952440000,2026-05-22,0.0037269732408284906,0.0006226406727682398,0.005761256264574702,0.003102400887084618,0.10129939252413955,0.009192625184866198,0.23333333333333334,0.4074074074074074,0.6428571428571429,0.5862068965517241,36.48339719029374,LOW
2026-05-26,7511.790039,7539.089844,7501.100098,7519.120117,7519.120117,5496060000,2026-05-26,0.0061082603779401,0.000975809755323748,0.005057349287288858,0.005127447209609325,0.1023066982817591,0.00802231823050793,0.13333333333333333,0.4444444444444444,0.39285714285714285,0.896551724137931,39.486590038314176,MEDIUM
2026-05-27,7526.009766,7530.720215,7499.720215,7520.359863,7520.359863,5524250000,2026-05-27,0.0001648791322266252,-0.0007507169370846189,0.004119048601298347,0.0009162839391836431,0.06608511808735348,0.0071747142504659245,0.03333333333333333,0.18518518518518517,0.2857142857142857,0.2413793103448276,12.809067688378033,LOW
2026-05-28,7519.819824,7568.720215,7508.040039,7563.629883,7563.629883,5494860000,2026-05-28,0.0057537166822145824,0.005825945305255422,0.008069365678993407,7.181026039146129e-05,0.0406598678840273,0.0066654237651248786,0.43333333333333335,0.14814814814814814,0.17857142857142858,0.034482758620689655,25.374840357598977,LOW
2026-05-29,7579.330078,7599.379883,7563.549805,7580.060059,7580.060059,7858290000,2026-05-29,0.002172260707379303,9.631207408676828e-05,0.00472734102239477,0.0020757487136286346,0.039513966934777094,0.0055468721709100175,0.06666666666666667,0.07407407407407407,0.03571428571428571,0.41379310344827586,13.868454661558111,LOW
2026-06-01,7582.290039,7617.660156,7562.609863,7599.959961,7599.959961,6583960000,2026-06-01,0.0026252960854011853,0.002330420217257945,0.007260378159744021,0.0002941902811643763,0.04003556493002599,0.0058466965499438805,0.36666666666666664,0.1111111111111111,0.10714285714285714,0.10344827586206896,22.45785440613027,LOW
2026-06-02,7595.399902,7620.899902,7582.990234,7609.779785,7609.779785,5904410000,2026-06-02,0.0012920889123615442,0.0018932357987119462,0.004991135225153579,0.0006000109241890592,0.03327334128610851,0.005833453737516825,0.1,0.037037037037037035,0.07142857142857142,0.1724137931034483,9.244572158365262,LOW
2026-06-03,7605.310059,7605.350098,7551.220215,7553.680176,7553.680176,5753860000,2026-06-03,-0.00737204105571887,-0.006788662473912231,0.0071173801699173575,0.0005873660114067749,0.07806566334915832,0.006433120051240626,0.3333333333333333,0.2962962962962963,0.14285714285714285,0.13793103448275862,28.12899106002554,LOW
2026-06-04,7516.540039,7598.189941,7516.540039,7584.310059,7584.310059,5398910000,2026-06-04,0.004054961593068285,0.009016119071856371,0.010862697674242935,0.004916826783056457,0.07210796131194049,0.006991786450290532,0.7666666666666667,0.25925925925925924,0.21428571428571427,0.8620689655172413,60.8154533844189,HIGH
2026-06-05,7537.359863,7541.810059,7368.629883,7383.740234,7383.740234,5591290000,2026-06-05,-0.026445361995979133,-0.02038109255657279,0.022976238251555637,0.006190437315294982,0.20159924352158554,0.010641565896122706,0.9666666666666667,0.8888888888888888,0.8571428571428571,0.9310344827586207,93.23180076628353,HIGH
2026-06-08,7440.569824,7466.810059,7395.129883,7405.72998,7405.72998,4898180000,2026-06-08,0.0029781310424144003,-0.004682416108457459,0.009633694420660107,0.0076965857680523974,0.20247232533977486,0.011116229148305923,0.6,0.9259259259259259,0.8928571428571429,1.0,79.4074074074074,HIGH
2026-06-09,7438.660156,7483.149902,7237.850098,7386.649902,7386.649902,6006390000,2026-06-09,-0.0025763939613687725,-0.006991884682088682,0.032976342359469425,0.004446580700205309,0.19655624226972726,0.01671327057516909,1.0,0.8518518518518519,0.9285714285714286,0.7241379310344828,89.29757343550446,HIGH
2026-06-10,7350.540039,7396.560059,7265.930176,7266.990234,7266.990234,5247300000,2026-06-10,-0.016199450303932994,-0.011366485259138462,0.01777146744414877,0.004888530454140329,0.2103091834931823,0.018844088030015374,0.9,0.9629629629629629,0.9642857142857143,0.8275862068965517,90.75542784163473,HIGH
2026-06-11,7287.669922,7412.680176,7257.330078,7394.299805,7394.299805,5658920000,2026-06-11,0.01751888565975457,0.014631546727727826,0.021316840590025816,0.0028457019115350267,0.2705591665766483,0.02093491661317195,0.9333333333333333,1.0,1.0,0.4827586206896552,86.65517241379311,HIGH
