botName,type,description,symbol,status,quantity,daysInTrade,openPrice,closePrice,premium,pnl,ror,returnPct,risk,ev,alpha,highReturnPct,lowReturnPct,highReturnPctDate,lowReturnPctDate,expiration,openDate,closeDate,tags,underlyingOpen,underlyingClose
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,535 put, -7,570 put, -7,570 call, +7,585 call","SPX","closed",1,0,13.1,9.1,-1310,400,0.182648,0.305344,2190,"-176.001777","-0.080329","0.30610687","-0.09847328","2026-05-28 13:55:00","2026-05-28 12:37:00","2026-05-28 16:00:00","2026-05-28 12:30:02","2026-05-28 13:55:00","position",7561.15,7566.16
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,510 put, -7,570 put, -7,570 call, +7,585 call","SPX","closed",1,0,20.15,13.55,-2015,660,0.165621,0.327543,3985,"88.95194","0.022316","0.32903226","-0.13895782","2026-05-28 12:25:00","2026-05-28 11:16:00","2026-05-28 16:00:00","2026-05-28 11:05:00","2026-05-28 12:25:01","position",7554.32,7564.82
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,470 put, -7,500 put, -7,500 call, +7,540 call","SPX","closed",1,0,17.95,12.55,-1795,540,0.244898,0.300836,2205,"488.420917","0.221406","0.30250696","-0.03008357","2026-05-26 14:58:00","2026-05-26 12:55:00","2026-05-26 16:00:00","2026-05-26 12:50:01","2026-05-26 14:58:00","position",7506.67,7510.15
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,470 put, -7,500 put, -7,500 call, +7,555 call","SPX","closed",1,0,26.75,18.65,-2675,810,0.286726,0.302804,2825,"433.114334","0.152184","0.30317757","-0.0164486","2026-05-26 12:49:00","2026-05-26 11:26:00","2026-05-26 16:00:00","2026-05-26 11:25:05","2026-05-26 12:49:01","position",7519.66,7506.97
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,485 put, -7,550 put, -7,550 call, +7,570 call","SPX","closed",1,0,22.25,33.55,-2225,-1130,-0.264327,-0.507865,4275,"178.96425","0.041853","0.00719101","-0.49662921","2026-05-26 10:55:01","2026-05-26 11:30:00","2026-05-26 16:00:00","2026-05-26 10:55:01","2026-05-26 11:30:06","position",7533.26,7516.07
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,455 put, -7,500 put, -7,500 call, +7,525 call","SPX","closed",1,0,17.95,19.3,-1795,-135,-0.049908,-0.075209,2705,"413.050311","0.152642","0.28300836","-0.13760446","2026-05-22 14:44:00","2026-05-22 15:07:00","2026-05-22 16:00:00","2026-05-22 12:55:00","2026-05-22 15:15:00","position",7492.49,7481.21
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,430 put, -7,500 put, -7,500 call, +7,530 call","SPX","closed",1,0,27.8,19.35,-2780,845,0.200237,0.303957,4220,"593.224181","0.140574","0.30431655","0.0057554","2026-05-22 12:54:00","2026-05-22 11:00:02","2026-05-22 16:00:00","2026-05-22 11:00:02","2026-05-22 12:54:00","position",7482.02,7490.78
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,380 put, -7,425 put, -7,425 call, +7,460 call","SPX","closed",1,0,19.7,13.75,-1970,595,0.235178,0.30203,2530,"578.938896","0.228739","0.3035533","-0.1786802","2026-05-20 14:03:00","2026-05-20 12:38:00","2026-05-20 16:00:00","2026-05-20 11:50:00","2026-05-20 14:03:00","position",7425.87,7419.99
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,455 put, -7,515 put, -7,515 call, +7,525 call","SPX","closed",1,0,20.6,14.1,-2060,650,0.164975,0.315534,3940,"143.03427","0.036276","0.31553398","-0.38932039","2026-05-14 14:56:00","2026-05-14 13:22:00","2026-05-14 16:00:00","2026-05-14 12:35:01","2026-05-14 14:56:00","position",7498,7503
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,475 put, -7,525 put, -7,525 call, +7,540 call","SPX","closed",1,0,16.95,26.45,-1695,-950,-0.287443,-0.560472,3305,"83.53589","0.025268","0.03716814","-0.56047198","2026-05-14 12:19:00","2026-05-14 12:34:00","2026-05-14 16:00:00","2026-05-14 12:10:01","2026-05-14 12:34:00","position",7513.68,7497.69
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,460 put, -7,525 put, -7,525 call, +7,535 call","SPX","closed",1,0,22.65,15.8,-2265,685,0.161747,0.302428,4235,"118.44678","0.027831","0.30375276","-0.00529801","2026-05-14 12:06:00","2026-05-14 11:39:00","2026-05-14 16:00:00","2026-05-14 11:20:05","2026-05-14 12:06:00","position",7505.8,7516.42
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,445 put, -7,515 put, -7,515 call, +7,530 call","SPX","closed",1,0,24.4,16.9,-2440,750,0.164474,0.307377,4560,"166.98955","0.036612","0.30860656","-0.03032787","2026-05-14 11:27:00","2026-05-14 11:00:00","2026-05-14 16:00:00","2026-05-14 10:55:01","2026-05-14 11:27:00","position",7495.27,7508.4
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,420 put, -7,450 put, -7,450 call, +7,475 call","SPX","closed",1,0,11.45,9,-1145,245,0.132075,0.213974,1855,"35.997838","0.019395","0.28471616","-0.08471616","2026-05-13 15:06:00","2026-05-13 13:35:00","2026-05-13 16:00:00","2026-05-13 13:30:02","2026-05-13 15:15:00","position",7448.1,7456.89
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,405 put, -7,450 put, -7,450 call, +7,470 call","SPX","closed",1,0,16.95,11.8,-1695,515,0.183601,0.303835,2805,"81.319604","0.028981","0.30442478","-0.04070796","2026-05-13 13:30:00","2026-05-13 12:47:00","2026-05-13 16:00:00","2026-05-13 12:35:01","2026-05-13 13:30:00","position",7439.29,7448
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,365 put, -7,400 put, -7,400 call, +7,445 call","SPX","closed",1,0,20.85,31.5,-2085,-1065,-0.440994,-0.510791,2415,"327.890527","0.135716","0.03645084","-0.51079137","2026-05-13 11:13:00","2026-05-13 12:24:00","2026-05-13 16:00:00","2026-05-13 11:00:03","2026-05-13 12:24:00","position",7410.59,7432.3
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,375 put, -7,400 put, -7,400 call, +7,440 call","SPX","closed",1,0,19.25,13.4,-1925,585,0.281928,0.303896,2075,"-69.556424","-0.033505","0.30441558","-0.46493507","2026-05-11 15:00:00","2026-05-11 14:04:00","2026-05-11 16:00:00","2026-05-11 11:15:02","2026-05-11 15:00:01","position",7412.79,7406.99
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,395 put, -7,425 put, -7,425 call, +7,445 call","SPX","closed",1,0,9.95,6.95,-995,300,0.149626,0.301508,2005,"-508.688196","-0.254599","0.30251256","-0.41407035","2026-05-11 14:24:00","2026-05-11 13:19:00","2026-05-11 16:00:00","2026-05-11 12:30:08","2026-05-11 14:24:00","position",7425.53,7424.73
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,360 put, -7,400 put, -7,400 call, +7,415 call","SPX","closed",1,0,11.85,8.25,-1185,360,0.127886,0.303797,2815,"-625.229071","-0.222027","0.30464135","-0.04135021","2026-05-08 14:20:00","2026-05-08 13:12:00","2026-05-08 16:00:00","2026-05-08 13:10:01","2026-05-08 14:20:00","position",7396.72,7400.13
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,340 put, -7,400 put, -7,400 call, +7,425 call","SPX","closed",1,0,18.35,12.75,-1835,560,0.134454,0.305177,4165,"-517.920528","-0.12471","0.30572207","-0.16566758","2026-05-08 13:06:00","2026-05-08 11:19:00","2026-05-08 16:00:00","2026-05-08 11:00:01","2026-05-08 13:06:00","position",7393.74,7397.43
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,290 put, -7,350 put, -7,350 call, +7,380 call","SPX","closed",1,0,22.35,15.6,-2235,675,0.179283,0.302013,3765,"123.008846","0.032646","0.30246085","-0.28948546","2026-05-07 14:07:00","2026-05-07 13:27:00","2026-05-07 16:00:00","2026-05-07 12:20:01","2026-05-07 14:07:00","position",7341.36,7341.86
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,315 put, -7,350 put, -7,350 call, +7,360 call","SPX","closed",1,0,11.1,7.75,-1110,335,0.140167,0.301802,2390,"-233.80418","-0.097785","0.3027027","-0.02882883","2026-05-06 14:16:00","2026-05-06 13:51:00","2026-05-06 16:00:00","2026-05-06 13:50:01","2026-05-06 14:16:01","position",7342.58,7350.05
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,295 put, -7,350 put, -7,350 call, +7,370 call","SPX","closed",1,0,16.75,11.7,-1675,505,0.132026,0.301493,3825,"-874.446096","-0.228434","0.30208955","-0.23701493","2026-05-06 13:46:00","2026-05-06 13:01:00","2026-05-06 16:00:00","2026-05-06 10:55:00","2026-05-06 13:46:01","position",7342.97,7342.4
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,205 put, -7,250 put, -7,250 call, +7,280 call","SPX","closed",1,0,17.3,12,-1730,530,0.191336,0.306358,2770,"-422.473678","-0.152463","0.30693642","-0.01676301","2026-05-05 13:08:00","2026-05-05 11:13:00","2026-05-05 16:00:00","2026-05-05 10:55:01","2026-05-05 13:08:00","position",7253.07,7257.37
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,200 put, -7,250 put, -7,250 call, +7,270 call","SPX","closed",1,0,15.45,24.1,-1545,-865,-0.250362,-0.559871,3455,"-895.508628","-0.259117","0.00064725","-0.55987055","2026-05-04 10:55:01","2026-05-04 11:14:00","2026-05-04 16:00:00","2026-05-04 10:55:01","2026-05-04 11:14:00","position",7242.88,7225.49
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,215 put, -7,250 put, -7,250 call, +7,270 call","SPX","closed",1,0,11.95,8.8,-1195,315,0.136659,0.263598,2305,"-490.847544","-0.214719","0.26359833","-0.39916318","2026-05-01 15:15:00","2026-05-01 14:58:00","2026-05-01 16:00:00","2026-05-01 13:15:02","2026-05-01 15:15:01","position",7247.93,7243.88
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,195 put, -7,250 put, -7,250 call, +7,280 call","SPX","closed",1,0,19,13.1,-1900,590,0.163889,0.310526,3600,"-468.342722","-0.129987","0.31105263","-0.05210526","2026-05-01 13:15:00","2026-05-01 11:48:00","2026-05-01 16:00:00","2026-05-01 11:10:01","2026-05-01 13:15:00","position",7249.62,7247.8
"Addl GEX Trade Price x 1.50 10 Delta GEX Exit Super SPX SIB Clone","ironbutterfly","+7,155 put, -7,200 put, -7,200 call, +7,215 call","SPX","closed",1,0,16.4,11.3,-1640,510,0.178322,0.310976,2860,"-69.91681","-0.024438","0.31280488","-0.04695122","2026-04-30 14:20:00","2026-04-30 13:41:00","2026-04-30 16:00:00","2026-04-30 13:40:01","2026-04-30 14:20:00","position",7188.25,7201.8
